Wall time,Step,Value
1689000102.953084,0,0.1379576325416565
1689001509.645157,1,0.33166006207466125
1689002922.737837,2,0.41888976097106934
1689004329.3966684,3,0.47795557975769043
1689005739.9156492,4,0.5289691090583801
1689007150.7122178,5,0.5728577375411987
1689008563.8776267,6,0.6136344075202942
1689009975.0660758,7,0.646397054195404
1689011384.9781456,8,0.6743548512458801
1689012795.542782,9,0.7006786465644836
1689014207.5812478,10,0.7240994572639465
1689015619.3760135,11,0.7460423111915588
1689017031.2855632,12,0.7681205868721008
1689018442.4096725,13,0.7884412407875061
1689019859.231455,14,0.8098099827766418
1689021268.2739305,15,0.8312994241714478
1689022680.5101473,16,0.8521912097930908
1689024094.8133981,17,0.8750555515289307
1689025504.3691952,18,0.8970749974250793
1689026915.8876882,19,0.9187793731689453
1689028329.3392434,20,0.9379693865776062
1689029743.9191256,21,0.9549160003662109
1689031155.7352836,22,0.9680882096290588
1689032566.3847637,23,0.9782043695449829
1689033980.2487674,24,0.9858003258705139
1689035392.8762722,25,0.9902312755584717
1689036809.2933939,26,0.9937937259674072
1689038222.539091,27,0.9959959387779236
1689039640.1163244,28,0.9974532723426819
1689041052.9813783,29,0.9981068968772888
1689042463.9170177,30,0.9988576769828796
1689043877.8873537,31,0.9990902543067932
1689045290.8563905,32,0.9992433786392212
1689046706.76239,33,0.9995318651199341
1689048122.352725,34,0.9995790123939514
1689049534.5154717,35,0.9997114539146423
1689050946.6140027,36,0.9997467994689941
1689052360.4515092,37,0.9998056888580322
1689053774.8513634,38,0.9998292326927185
1689055187.4819674,39,0.9998999238014221
1689056597.2944825,40,0.9998704791069031
1689058013.3928244,41,0.9998999238014221
1689059427.0019248,42,0.9999116659164429
1689060837.606413,43,0.9999617338180542
1689062250.1929874,44,0.9999322891235352
1689063664.4624002,45,0.9999587535858154
1689065076.354559,46,0.999970555305481
1689066489.482224,47,0.9999646544456482
1689067906.5175607,48,0.999973475933075
1689069319.670409,49,0.9999617338180542
